Pro,Con,Judges,Votes,Win
Newton South MK,Chapin WI,"Tara Gill																																		Dan White																																		Yingzi Wu","Pro																												Pro																												Con","2-1																															PRO"
Phillipsburg BM,Poly Prep Country Day ST,"Ashley Dawn																																		David Levin																																		Carey Witkov","Pro																												Con																												Con","2-1																															CON"
Horace Mann LP,Cambridge Rindge and Latin PR,"Victor Chen																																		Brandy Carbone																																		Julia Xu","Pro																												Con																												Con","2-1																															CON"
Boston Latin MT,Bergen County Academies CK,"Lindsay Allen																																		Christopher Robertson																																		Laura Kane","Pro																												Pro																												Pro","3-0																															PRO"
Newton South CY,Regis HT,"Laurie Schmid																																		Kristina Stege																																		Debashis Das","Pro																												Con																												Con","2-1																															CON"
Acton-Boxborough FE,Newton South WZ,"Amelia Ritenour																																		Russell Legate-Yang																																		Kurtis Lee","Pro																												Pro																												Pro","3-0																															PRO"
Ridge IP,Bergen County Academies MS,"M. Reza MALIHI																																		Paul Kane																																		Akshay Ramana","Pro																												Pro																												Con","2-1																															PRO"
Newton South KH,Sharon KS,"Kamal Narra																																		Klil Loeb																																		Aryan Ranade","Pro																												Pro																												Pro","3-0																															PRO"
