Aff,Neg,Judges,Votes,Win
Harrison RP,Lake Highland Prep HL,"Eva Lamberson																																						DI Wu																																						Janay Joseph","Neg																															Neg																															Aff","2-1																															NEG"
Lake Highland Prep PS,Barrington AC,"Iris Chen																																						Shruti Narayanabhatla																																						Jack Booth","Aff																															Aff																															Aff","3-0																															AFF"
Lake Highland Prep WH,Harrison JB,"Michael Kpade																																						Katie Baughman																																						Aidan Thompson","Aff																															Aff																															Aff","3-0																															AFF"
Cary Acad DH,Prospect ST,"Jessie Pein																																						Karan Shah																																						Jarvis Xie","Neg																															Neg																															Neg","3-0																															NEG"
Scarsdale JK,Southlake Carroll AS,"Iris Chen																																						Rose Larson																																						Jack Booth","Neg																															Neg																															Neg","3-0																															NEG"
Lexington RL,Collegiate ND,"Samantha McLoughlin																																						Tajaih Robinson																																						Katie Baughman","Neg																															Neg																															Neg","3-0																															NEG"
Durham PA,Scarsdale DH,"Elizabeth Su																																						Vik Maan																																						Austin Broussard","Neg																															Neg																															Neg","3-0																															NEG"
Walt Whitman HZ,Durham SA,"Samantha McLoughlin																																						Nicholas Ford																																						Jarvis Xie","Aff																															Neg																															Neg","2-1																															NEG"
Sage Oak Charter AK,Lake Highland Prep AR,"Shruti Narayanabhatla																																						Vladimir Pavlov																																						Lily Gies","Aff																															Neg																															Aff","2-1																															AFF"
Strake Jesuit  JW,Los Altos AK,"Anuj Jain																																						Liam Nyberg																																						Zachary Siegel","Neg																															Aff																															Aff","2-1																															AFF"
L C Anderson NW,San Mateo YR,"Chetan Hertzig																																						Grant Brown																																						Lily Gies","Neg																															Neg																															Aff","2-1																															NEG"
Ridge RD,Strake Jesuit  NW,"Rusem Paul																																						Elizabeth Su																																						Joey Antonelli","Neg																															Neg																															Aff","2-1																															NEG"
Newark Science AL,Mountain lakes high EW,"Eva Lamberson																																						Rusem Paul																																						Joey Antonelli","Neg																															Aff																															Neg","2-1																															NEG"
Westridge TW,Princeton AS,"Tajaih Robinson																																						Jessie Pein																																						Raunak Dua","Aff																															Neg																															Aff","2-1																															AFF"
William G. Enloe PD,Millburn ST,"Liam Nyberg																																						Ashley Murphy																																						Austin Broussard","Neg																															Aff																															Neg","2-1																															NEG"
Amador Valley EM,Phoenix Country Day KG,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE"
