Aff,Neg,Judges,Votes,Win
Marlborough WR,Notre Dame San Jose AG,"Jonathan Meza																																		Jackson Hanna																																		Henry Zheng","Aff																												Aff																												Aff","3-0																															AFF"
Marlborough HL,Westridge TW,"Jonathan Meza																																		Jackson Hanna																																		Henry Zheng","Aff																												Neg																												Neg","2-1																															NEG"
