Aff,Neg,Judge,Win
Harvard-Westlake SB,Immaculate Heart OA,Veer Misra,Neg
Marlborough CS,Peninsula WW,Andrew Park,Neg
Clovis North DC,Riverside Independent PK,Claudia Ogarrio Hernandez,Aff
Harvard-Westlake AS,Lynbrook BZ,Kevin Lai,Aff
Lynbrook VV,Gabrielino OL,Gordon Krauss,Aff
Marlborough RB,Lynbrook OM,Kevin Lai,Neg
Marlborough SC,BASIS Scottsdale SS,Mike Bietz,Neg
Marlborough LS,Peninsula KH,Rosalind Goldman,Aff
Immaculate Heart NH,PSS Independent PN,Ben Cortez,Aff
Marlborough SMe,St Francis ZC,Gordon Krauss,Neg
Los Altos ST,Peninsula KT,Elizabeth Su,Neg
Marlborough DK,Elkins SS,Simone Pisarik,Aff
Oak Ridge Independent AH,Sage Hill IH,Vontrez White,Aff
Harvard-Westlake MR,Monta Vista AA,Jackson Mills,Neg
Phillips Exeter Independent RQ,Westlake AH,Elizabeth Su,Neg
Marlborough OO,Los Altos AK,Rayeed Rahman,Aff
Phillips Exeter Independent ES,OCSA IL,Rayeed Rahman,Neg
Harvard-Westlake LR,Peninsula KN,Alex Fu,Neg
Marlborough SS,Garland LA,Joey Antonelli,Neg
Peninsula AS,Flintridge Prep IL,Adarsh Agrawal,Neg
Marlborough AM,Horace Greeley SG,David Martinez,Neg
Peninsula AY,Harvard-Westlake DB,David Martinez,Aff
Marlborough SK,BASIS Silicon Valley YS,Rosalind Goldman,Neg
Peninsula SL,Stanford OHS AY,Elvis Pineda,Neg
Marlborough PS,Amador Valley LA,Mike Bietz,Aff
Marlborough ED,Lynbrook YK,Ben Cortez,Aff
Barrington AC,Clear Lake CW,Shiza Khan,Neg
Brophy TJ,Peninsula SU,Lucas Hunter,Neg
Monta Vista HL,Harvard-Westlake JW,Chris Paredes,Neg
Harvard-Westlake LSt,Peninsula AI,Lucas Hunter,Neg
Palisades Charter SM,Valley Christian CL,Isaiah Salgado,Aff
Peninsula BS,BASIS Silicon Valley JK,Andrew Park,Neg
Marlborough FM,Immaculate Heart MF,Alex Borgas,Neg
Riverside Independent SH,Oakwood BW,Shiza Khan,Neg
Marlborough LF,L C Anderson LS,Steven Yu,Neg
Harvard-Westlake KM,PSS Independent SL,Albert Cardenas,Aff
Geffen Academy of UCLA JP,Yoo Independent AY,Joseph Barquin,Neg
Immaculate Heart MD,Los Altos EP,Steven Yu,Neg
Marlborough JK,Peninsula JE,Adarsh Agrawal,Neg
Pinewood TA,Northwood HS Independent JS,Joseph Barquin,Neg
Monta Vista SC,La Salle  SR,Joan Kim,Aff
Dublin HS Independent AG,Washington Independent WL,Naomi Alan,Neg
Marlborough SW,Monta Vista EY,Alex Borgas,Neg
Peninsula DN,Sage Hill AJ,Jonathan Meza,Neg
Harvard-Westlake WL,L C Anderson NW,Yardley Rosas,Aff
Los Altos NM,Peninsula EE,Patrick Fox,Aff
Waring MB,Oak Ridge Independent AA,Max Wiessner,Aff
Riverside Independent OT,Immaculate Heart AE,Joey Antonelli,Neg
Immaculate Heart ES,Brentwood RA,Jonathan Meza,Aff
Harvard-Westlake LS,Horace Greeley SR,Jared Burke,Aff
Gabrielino AS,Flower Mound AM,Michael Harris,Neg
Immaculate Heart SH,Arizona Chandler WC,Jared Burke,Neg
Marlborough SM,Horace Greeley AM,Patrick Fox,Aff
Marlborough PP,Immaculate Heart BS,Alex Fu,Aff
Marlborough EL,PSS Independent SV,Simone Pisarik,Neg
Brophy YS,Renaissance CB,Jackson Mills,Neg
Peninsula AL,Arizona Chandler DH,Chris Paredes,Aff
BASIS Scottsdale TK,Immaculate Heart CM,Adam Mimou,Aff
Lynbrook NM,Harvard-Westlake JT,Adam Mimou,Neg
,Immaculate Heart CJ,,Neg BYE
