Pro,Con,Judge,Win,"Pro								Points","Con								Points"
Blake OR,Potomac LP,Sekar Sanku,Pro,"Z Olson																																																												29.0																																																																																								E Redmond																																																												29.0","Z Patel																																																												29.0																																																																																								P Lieu																																																												29.0"
duPont Manual HS  / Youth Performing Arts HM,Ivy Bridge KK,Dylan Beach,Con,"A Mishra																																																												27.0																																																																																								F Henderson																																																												27.0","S Kovi																																																												27.0																																																																																								E Kallu																																																												27.0"
Canyon Crest DS,Montgomery Blair LT,Ashok Nagaraju,Pro,"M Synn																																																												28.5																																																																																								I Deshpande																																																												28.4","C Li																																																												28.1																																																																																								C Tang																																																												28.3"
University KH,Ravenwood KM,yeqing tang,Con,"C Hsieh																																																												29.0																																																																																								A Krishnaney																																																												28.5","A Kumar																																																												28.7																																																																																								N Mukerji																																																												29.2"
McLean Independent HW,Walt Whitman BW,Joshua Enebo,Con,"L Hu																																																												27.0																																																																																								A Wu																																																												27.2","H Walley																																																												27.5																																																																																								R Barold																																																												27.0"
Walt Whitman HH,Brentwood HS,Joshua Enebo,Pro,"M Hu-Henderson																																																												28.5																																																																																								W Hallward-Driemeier																																																												28.3","A Sidiqyar																																																												27.8																																																																																								W Hong																																																												28.0"
Brentwood GS,Ivy Bridge AK,yeqing tang,Pro,"N Sanku																																																												29.2																																																																																								E Gripenstraw																																																												29.2","A Ashok																																																												29.2																																																																																								A Kulkarni																																																												28.7"
Poolesville HL,Ivy Bridge QC,Valli Gollamudi,Pro,"L Hu																																																												27.0																																																																																								E Liu																																																												28.0","L Chinthalapudi																																																												25.0																																																																																								F Qi																																																												26.0"
Blake TP,VDA - Vancouver ZJ,Valli Gollamudi,Pro,"S Perri																																																												29.0																																																																																								E Terveen																																																												28.0","S Jin																																																												26.0																																																																																								J Zhou																																																												28.0"
Ravenwood BM,Cary HJ,Ke Ren,Pro,"A Balaje																																																												29.2																																																																																								S McAtee																																																												29.0","A Jain																																																												28.9																																																																																								C Hu																																																												28.8"
duPont Manual HS  / Youth Performing Arts PB,Poly Prep Country Day ST,Helen Barold,Con,"s Babu																																																												27.0																																																																																								A Polepalli																																																												26.5","J Sah																																																												28.0																																																																																								G Tiesi																																																												29.0"
Brentwood CM,,Helen Barold,Pro,"K Mize																																																												29.0																																																																																								G Crouch																																																												28.3",
Walt Whitman BG,Durham HH,Sid Kalasikam,Con,"Z Bell																																																												28.7																																																																																								R Gulati																																																												28.8","M Hansen																																																												28.9																																																																																								A Huang																																																												29.0"
Brentwood KS,VDA - Vancouver LT,Balaje Govindan,Con,"P Khairollahi																																																												28.2																																																																																								P Sathu																																																												28.0","W Liang																																																												28.5																																																																																								A Tian																																																												28.3"
duPont Manual HS  / Youth Performing Arts FL,Durham VC,Sid Kalasikam,Con,"V Fu																																																												28.0																																																																																								D Lin																																																												27.5","C Chen																																																												28.5																																																																																								J Vail																																																												29.0"
Marist HE,Richard Montgomery LX,Yongtong Hu,Pro,"J Escayg																																																												29.0																																																																																								M Horne																																																												27.0","R Xie																																																												28.0																																																																																								Z Lam																																																												28.0"
Brentwood MT,Cary HZ,Dylan Beach,Con,"A Malhotra																																																												27.5																																																																																								N Thanigaivelan																																																												27.5","E Zhang																																																												29.0																																																																																								F Hu																																																												29.0"
Lexington FS,Walt Whitman BhWi,Arul Nayagadurai,Pro,"A Sivabalan																																																												27.5																																																																																								A Fan																																																												28.0","S Willhauck																																																												27.1																																																																																								D Bhattacharjee																																																												27.0"
Potomac RZ,duPont Manual HS  / Youth Performing Arts GR,Ashok Nagaraju,Con,"B Rask																																																												28.3																																																																																								A Zhang																																																												27.5","A Gollamudi																																																												28.2																																																																																								A Reddy																																																												28.5"
Thomas Jefferson HSST ZL,Columbus YY,Arul Nayagadurai,Pro,"B Zhou																																																												28.0																																																																																								D Li																																																												29.0","G Yoon																																																												27.0																																																																																								N Yoon																																																												27.5"
Hawken JJ,BASIS Chandler CV,Caleb Horowitz,Con,"A Jawa																																																												28.0																																																																																								J Joyce																																																												28.0","J Vo																																																												29.5																																																																																								R Choudhury																																																												29.5"
Richard Montgomery CW,Thomas Jefferson HSST CL,Sekar Sanku,Pro,"D Wong																																																												29.0																																																																																								M Chang																																																												28.0","A Chen																																																												29.0																																																																																								G Liu																																																												28.0"
Science Hill NW,Richard Montgomery TW,Yongtong Hu,Pro,"A Noe																																																												28.0																																																																																								M Wilson																																																												27.0","C Tu																																																												27.0																																																																																								C Wang																																																												27.0"
Strake Jesuit  DY,Brentwood NC,Caleb Horowitz,Pro,"J Yates																																																												29.0																																																																																								I Dubey																																																												29.0","A Nayagadurai																																																												28.0																																																																																								E Chanda																																																												28.0"
Ravenwood PK,,,,,
