Pro,Con,Judges,Votes,Win
College Prep FK,Strake Jesuit  CM,"Ethan Chen																																						Jack Hasper																																						Janaki Sankar","Con																															Con																															Con","3-0																															CON"
Plano West AB,Plano West ZZ,,Plano West AB advances,Plano West AB advances
