Pro,Con,Judges,Votes,Win
Colony GS,Jasper HL,"Mariana Rai																																						Ishan Rereddy																																						Cache Tucker","Con																															Con																															Pro","2-1																															CON"
Fairmont Prep NP,Westlake MR,"Jessica Skordal																																						Troy Stone																																						Jason Zhang","Pro																															Pro																															Pro","3-0																															PRO"
Westlake ND,Southlake Carroll GW,"Arrman Kapoor																																						Ishan Dubey																																						Charlie Walker","Con																															Con																															Con","3-0																															CON"
Southlake Carroll DT,Jasper MY,"Gabe Rusk																																						Ethan Chen																																						Nadia Escatell","Pro																															Pro																															Pro","3-0																															PRO"
Bellaire AC,Strake Jesuit  MS,"Hannah Kim																																						Dev Sharma																																						Zane Cui","Con																															Pro																															Con","2-1																															CON"
College Prep DJ,Plano West ZZ,"Purushothama Boyanapalli																																						Diego Arcos																																						Tyler Grimm","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  NH,Christopher Columbus CR,"Feifan Liu																																						Satvik Mahendra																																						Janaki Sankar","Pro																															Con																															Pro","2-1																															PRO"
Strake Jesuit  HK,Plano Senior GS,"John Mast																																						Jon-Carlo Canezo																																						Kelly Mower","Con																															Con																															Pro","2-1																															CON"
Strake Jesuit  LH,Westwood XT,"Ahmad Elassaad																																						Robert Holmes																																						Maddie Cook","Pro																															Pro																															Pro","3-0																															PRO"
St John's GZ,Southlake Carroll TS,"Eduardo Sanchez																																						Deepika Karnati																																						Tyler Powell","Con																															Pro																															Con","2-1																															CON"
Kinkaid MC,Strake Jesuit  KD,"Atul Kapoor																																						Justin Sterenberg																																						David Kirubanithi","Pro																															Con																															Con","2-1																															CON"
Plano West BM,Strake Jesuit  JH,"Jack Hasper																																						Amey Sharma																																						Howard Jackson","Pro																															Pro																															Pro","3-0																															PRO"
