Pro,Con,Judges,Votes,Win
Dulles LH,Germantown HS,"Gabe Rusk																																						Skylar Wang																																						Tracy Spitzer","Con																															Con																															Con","3-0																															CON"
Regis AL,Summit BM,"Ishan Dubey																																						Josh Cohen																																						Queen LouAllen","Con																															Con																															Con","3-0																															CON"
Summit TM,Millburn WC,"Rahim Kahloon																																						Justin Bi																																						Josephine O'Brien","Con																															Con																															Con","3-0																															CON"
JR Masterman WE,Horace Mann HJ,"Aileen Liang																																						Isabel Irvine																																						Anya Jain","Pro																															Pro																															Pro","3-0																															PRO"
Regis AD,St Luke's WM,"Malcolm Davis																																						Michelle Luo																																						Daniel Garepis-Holland","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  MuHa,Hawken MJ,"Sky Juinio																																						Cade Blenden																																						Andy Stowers Forest","Con																															Con																															Con","3-0																															CON"
BASIS Independent McLean BR,Horace Mann SK,"Fiona Hu																																						Colleen Devery																																						Eli Guenzburger","Pro																															Con																															Con","2-1																															CON"
Lexington ML,Montgomery Blair LT,"Noah Mengisteab																																						Grace Liu																																						Brendon Chen","Con																															Con																															Con","3-0																															CON"
Strath Haven DZ,Hunter BG,"Stella Sung																																						Amit Sethi																																						Andy Chen","Pro																															Pro																															Con","2-1																															PRO"
Canyon Crest WS,Strake Jesuit  HW,"Payton Shen																																						Kay Krogstad																																						Zach Frieden","Con																															Pro																															Pro","2-1																															PRO"
Stuyvesant BL,Southlake Carroll BS,"Anaya Joshi																																						Roland Au-Yeung																																						Jack Smalls","Con																															Pro																															Con","2-1																															CON"
East Ridge MV,,,,
Nueva CG,,,,
Lakeville North LM,,,,
Brooklyn Technical SU,,,,
Strake Jesuit  SZ,,,,
Langley RC,,,,
River Hill BT,,,,
Strake Jesuit  HH,,,,
JR Masterman SE,,,,
Regis FM,,,,
Canyon Crest SF,,,,
Delbarton ER,,,,
Trinity AS,,,,
Awty International ZZ,,,,
Blake OR,,,,
Blake CK,,,,
Fairmont Prep SS,,,,
Fairmont Prep KT,,,,
Charlotte Latin BW,,,,
Chapin MS,,,,
Strake Jesuit  GZ,,,,
