Pro,Con,Judges,Votes,Win
East Ridge MV,Southlake Carroll BS,"Ben Chen																																						James Bailey																																						Kay Krogstad","Con																															Pro																															Pro","2-1																															PRO"
Delbarton ER,Canyon Crest WS,"Malcolm Davis																																						Anaya Joshi																																						Skylar Wang","Pro																															Con																															Pro","2-1																															PRO"
Strath Haven DZ,Blake OR,"Aileen Liang																																						Jack Smalls																																						Chunlin Tang","Con																															Con																															Con","3-0																															CON"
Blake CK,Montgomery Blair LT,"Fiona Hu																																						wyatt hatfield																																						Sinan Roumie","Con																															Con																															Con","3-0																															CON"
Horace Mann SK,Fairmont Prep SS,"Jade Phoreman																																						Cade Blenden																																						Zach Frieden","Con																															Pro																															Pro","2-1																															PRO"
Fairmont Prep KT,Hawken MJ,"Anya Jain																																						Josh Cohen																																						Queen LouAllen","Pro																															Con																															Con","2-1																															CON"
Charlotte Latin BW,St Luke's WM,"Dasha Smirnova																																						Isabel Irvine																																						Nick Moore","Pro																															Con																															Pro","2-1																															PRO"
JR Masterman WE,Chapin MS,"Andy Chen																																						Goli Parsi																																						Eli Guenzburger","Pro																															Con																															Pro","2-1																															PRO"
Strake Jesuit  GZ,Millburn WC,"Andy Stowers Forest																																						Roland Au-Yeung																																						Michelle Luo","Con																															Pro																															Con","2-1																															CON"
Summit BM,Nueva CG,"Vivek Yarlagedda																																						Daniel Garepis-Holland																																						Francesca Damato","Con																															Con																															Pro","2-1																															CON"
Germantown HS,Lakeville North LM,"Prateek Motagi																																						Josephine O'Brien																																						Tracy Spitzer","Con																															Con																															Pro","2-1																															CON"
Brooklyn Technical SU,Awty International ZZ,"Sky Juinio																																						Colleen Devery																																						Gia Nguyen","Con																															Con																															Con","3-0																															CON"
Trinity AS,Strake Jesuit  SZ,"Payton Shen																																						Maddie Cook																																						Michael Weiss","Con																															Con																															Pro","2-1																															CON"
Langley RC,Canyon Crest SF,"Gabe Rusk																																						Noah Mengisteab																																						Hong Jiang","Pro																															Pro																															Pro","3-0																															PRO"
River Hill BT,Regis FM,"Mani Sundaram																																						Hyun Gon Jung																																						Anastasia Reshetnyak","Pro																															Con																															Pro","2-1																															PRO"
JR Masterman SE,Strake Jesuit  HH,"Les Phillips																																						Brendon Chen																																						Elizabeth Terveen","Pro																															Pro																															Con","2-1																															PRO"
