Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
West Des Moines Valley CK,Cypress Bay ZR,Varad Agarwala,Neg,28,29
West Des Moines Valley SJ,Millard South GM,Sam Anderson,Aff,29,27
Catonsville AT,Solebury LM,Alex Baez,Aff,29,29
West Des Moines Valley AM,Lincoln East BH,Garrett Bishop,Aff,29,28
West Des Moines Valley JS,McNeil AG,Lauren McCool,Neg,29,30
Iowa City West NW,Millard North JS,Azza Elhaj,Aff,28,28
Millard South PN,Bettendorf CE,Isabella Nadel,Neg,29,29
Rosemount MN,Samammish LW,Carly Rieger,Neg,29,29
Millard South ZG,Millard North SB,Scott Krueger,Aff,28,27
West Des Moines Valley AMa,Rosemount RS,Sam Larson,Aff,28,27
Lincoln North Star JH,Iowa City West JS,Breigh Plat,Neg,29,29
Iowa City West FZ,Rosemount CP,Pratham Soni,Neg,28,29
Millard North SD,Rosemount JA,Thomas Kim,Neg,28,28
Eagan AE,Bettendorf AK,Nigel Taylor-Ward,Aff,29,28
Millard South BJ,Solebury LN,Roberto West,Neg,28,29
West Des Moines Valley MM,,,,,
