Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Millard South ZG,West Des Moines Valley AMa,Richard Shmikler,Neg,28,26
Millard North JS,Millard South PN,Thomas Kim,Aff,28,28
McNeil AG,Rosemount CP,Alex Baez,Aff,29,28
Iowa City West NW,Solebury LN,Pratham Soni,Aff,30,28
Lincoln North Star JH,West Des Moines Valley AM,Krishna Agrawal,Neg,28,29
Iowa City West JS,Eagan AE,Cati Kalinoski,Aff,30,30
Millard South BJ,Solebury LM,Katherine Bleth,Neg,27,28
Lincoln East BH,West Des Moines Valley MM,Scott Krueger,Aff,27,27
Cypress Bay ZR,West Des Moines Valley JS,Dylan Sutton,Neg,28,28
Millard South GM,Millard North SB,Brandon Fisher,Neg,26,27
Millard North SD,Iowa City West FZ,Nathan Frenkel,Neg,28,28
Samammish LW,Rosemount JA,Sam Anderson,Aff,29,28
Catonsville AT,West Des Moines Valley SJ,Grady Stein,Neg,30,30
Bettendorf CE,Rosemount RS,Ed Skladany,Aff,29,29
