Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Los Alamos EG,James River HG,Will Aarons,Neg,28,29
Hawken EB,Lexington AS,Amber Brooks,Aff,29,28
Charlotte Latin EL,Trinity Prep JC,Reid Broughton,Neg,29,29
Myers Park CE,Charlotte Latin CS,Austin Broussard,Aff,28,28
Vestavia Hills GJ,Lincoln East EB,Shannon Castelo,Aff,28,28
Edgemont Junior-Senior AA,Cary CP,Samantha Fritz,Aff,29,28
Charlotte Latin ELi,Edgemont Junior-Senior AJ,Joe Coletti,Aff,28,28
William G. Enloe HB,Cary JR,Uttam Dey,Neg,28,29
Colonial Forge SR,Hawken AS,Bennett Dombcik,Aff,29,29
Shady Side NP,Harrison AC,Daniel Shatzkin,Neg,28,26
Lexington EY,Notre Dame San Jose AG,David Coates,Neg,28,29
William G. Enloe AJ,Cary BF,Qing Li,Neg,28,28
Lincoln East BH,Desert Vista GV,Elise Matton,Aff,29,28
William G. Enloe OM,Lexington AL,Sarah Nicoll,Aff,28,28
Bridgewater Raritan RL,Isidore Newman GP,Lauren Poague Marinuzzi,Aff,29,28
William G. Enloe AR,Clover Hill MM,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Mountain View EN,Cary NS,Jacob Thiak,Aff,29,28
Charlotte Latin AP,Isidore Newman PJ,David Vines,Neg,28,29
,Bridgewater Raritan NS,,Neg BYE,Neg BYE,
