Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Charlotte Latin AP,Vestavia Hills GJ,Carlos Astacio,Neg,29,29
Mountain View EN,Charlotte Latin ELi,Caroline Barry,Neg,29,29
Harrison AC,Hawken AS,Alex Berry,Aff,29,28
Colonial Forge SR,Lexington AS,Ali Bokhari,Aff,28,27
Isidore Newman PJ,Cary CP,Seung Joh Cho,Neg,28,29
Charlotte Latin CS,Lincoln East BH,David Coates,Neg,28,28
Myers Park CE,Los Alamos EG,Gheorghe Cojocariu,Neg,28,28
Cary JR,Shady Side NP,Chelsea Fang,Neg,29,30
Notre Dame San Jose AG,William G. Enloe HB,Brixz Gonzaba,Aff,29,29
Lexington EY,Cary BF,Lawson Hudson,Aff,29,29
Bridgewater Raritan NS,Desert Vista GV,Eva Lamberson,Neg,26,26
Edgemont Junior-Senior AJ,Clover Hill MM,Logan Lathrop,Aff,27,29
Edgemont Junior-Senior AA,William G. Enloe AR,Robert Luo,Aff,29,28
James River HG,Lexington AL,Bennett Dombcik,Neg,29,29
Trinity Prep JC,Lincoln East EB,Sierra Romero,Aff,28,28
Bridgewater Raritan RL,William G. Enloe AJ,Jyoti Saheta,Neg,27,29
Charlotte Latin EL,Isidore Newman GP,Keri Schacht,Aff,30,28
William G. Enloe OM,Hawken EB,Katy Stenner,Neg,29,30
Cary NS,,,,,
