Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Charlotte Latin EL,Edgemont Junior-Senior AJ,Will Aarons,Aff,29,27
Hawken AS,William G. Enloe AR,Carlos Astacio,Aff,29,29
Isidore Newman PJ,Clover Hill MM,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Desert Vista GV,Cary NS,Alex Berry,Neg,28,28
Mountain View EN,Los Alamos EG,Ali Bokhari,Aff,28,28
Charlotte Latin AP,James River HG,Austin Broussard,Aff,29,28
Isidore Newman GP,Cary BF,Seung Joh Cho,Neg,29,30
Lexington AL,William G. Enloe HB,Gheorghe Cojocariu,Neg,27,28
Harrison AC,William G. Enloe AJ,Jack Dowell,Aff,28,28
Lexington AS,Lincoln East BH,Brixz Gonzaba,Aff,29,29
Vestavia Hills GJ,Cary CP,Colter Heirigs,Neg,27,28
Bridgewater Raritan NS,William G. Enloe OM,Lawson Hudson,Neg,29,29
Charlotte Latin CS,Lexington EY,Robert Luo,Neg,27,28
Myers Park CE,Hawken EB,Elise Matton,Neg,28,29
Shady Side NP,Trinity Prep JC,Lauren Poague Marinuzzi,Aff,28,26
Notre Dame San Jose AG,Edgemont Junior-Senior AA,Glenn Prince,Neg,29,29
Cary JR,Bridgewater Raritan RL,Keri Schacht,Aff,29,28
Charlotte Latin ELi,Colonial Forge SR,Daniel Shatzkin,Aff,29,28
,Lincoln East EB,,Neg BYE,Neg BYE,
