Pro,Con,Judge,Win
Southlake Carroll GW,Pembroke Hill RA,Gayatri Vishnubhotla,Con
Flower Mound KK,Plano East TL,Lin Zhang,Pro
Clark SG,Garland RM,Atul Kapoor,Pro
Plano West AB,Plano West PC,,Plano West AB advances
