Pro,Con,Judges,Votes,Win
St Paul Academy and Summit HS,College Prep HP,"Niousha Bastani																																		Kishlaya Rastogi																																		Isabel Baird","Con																												Con																												Con","3-0																															CON"
Southlake Carroll GW,Del Norte AH,"Bryan Benitez																																		Luke Bagdon																																		Kate Ortiz","Con																												Con																												Con","3-0																															CON"
Jasper LK,Scarsdale LL,"Bob Dolan																																		Michael Weiss																																		Lis Fricker","Pro																												Pro																												Con","2-1																															PRO"
Ridge ZK,Strake Jesuit  DY,"Guido Dominguez																																		Ellen Wu																																		Michaela Chen","Pro																												Pro																												Con","2-1																															PRO"
College Prep ER,Fairmont Prep SS,"Katheryne Dwyer																																		Brianna Kerr																																		Andy Stubbs","Pro																												Con																												Pro","2-1																															PRO"
Edgemont Junior-Senior MA,Horace Mann AC,"Eli Glickman																																		Chloe Ricks																																		Marcus Daum","Pro																												Pro																												Pro","3-0																															PRO"
Hawken OT,Riverdale Country GM,"Andrew Horstkamp																																		Edward Kemelmakher																																		Sky Juinio","Con																												Con																												Con","3-0																															CON"
Durham HH,Flintridge Prep ZV,"Ionut Ionescu																																		Jingmei Zhang																																		Allison Lai","Pro																												Con																												Con","2-1																															CON"
Southlake Carroll SP,Cary HL,"Arthur Kozloyan																																		Himali Gandhi																																		Mayar Abdelmeguid","Pro																												Pro																												Pro","3-0																															PRO"
Southlake Carroll RK,Seven Lakes LZ,"Sophia Rubinstein																																		Venkat Nanduri																																		Joy Taw","Pro																												Con																												Pro","2-1																															PRO"
Trinity FY,NSU AR,"Gabe Rusk																																		Jordy Barry																																		Nayeon Kim","Con																												Con																												Pro","2-1																															CON"
Altamont SG,Hawken BL,"Parth Shah																																		Armaan Christ																																		Kat Butler","Con																												Pro																												Con","2-1																															CON"
Blake TP,Cary LB,"Bob Shurtz																																		Nicole Kroepel																																		Yongtong Hu","Pro																												Pro																												Con","2-1																															PRO"
Durham VC,Quarry Lane YY,"Kishore Vattikuti																																		Xiaolin Zhao																																		Kate Totz","Pro																												Pro																												Pro","3-0																															PRO"
Flintridge Prep CY,Stuyvesant MR,"Sahana Nellian																																		Raiyan Shaik																																		Emma Blemaster","Pro																												Con																												Pro","2-1																															PRO"
Taipei American ChWa,Taipei American CW,,Taipei American ChWa advances,Taipei American ChWa advances
