Pro,Con,Judges,Votes,Win
Plano West AB,Jasper HL,"Justin Sterenberg																																						Kyle Whipple																																						Hibah Lateef","Pro																															Pro																															Con","2-1																															PRO"
Southlake Carroll GF,Southlake Carroll WG,,Southlake Carroll WG advances,Southlake Carroll WG advances
