Aff,Neg,Judges,Votes,Result
Memorial DX,Memorial BD,,Memorial DX advances,Memorial DX advances
Southlake Carroll PK,Memorial SC,"Amadea Datel																																		Sam Azbel																																		Ben Erdmann","Aff																												Aff																												Neg","2-1																															AFF"
