Aff,Neg,Judges,Votes,Win
Little Rock Central KC,Little Rock Central CS,"Jonathan Meza																																						Josh Reynolds																																						Ian Horton","Neg																															Aff																															Neg","2-1																															NEG"
Harvard-Westlake EG,,,,
Harvard-Westlake LS,,,,
Harvard-Westlake MR,,,,
