Pro,Con,Judges,Votes,Win
Fairmont Prep KM,Lee & Cao,"Katie Cole																																						Tiana Sharpe																																						Madison Damus","Pro																															Pro																															Pro","3-0																															PRO"
Astor Redhead ML,Collegiate AgSr,"Gabe Rusk																																						Timothy Meyer																																						Madeleine Tseng","Pro																															Pro																															Pro","3-0																															PRO"
Oakwood HR,Collegiate KF,"Sebastian Alcaraz																																						Sachi Patel																																						Doug Miller","Con																															Con																															Con","3-0																															CON"
Fairmont Prep TK,Fairmont Prep CS,,Fairmont Prep TK advances,Fairmont Prep TK advances
