Pro,Con,Judges,Votes,Win
Overlake LC,Interlake XT,"Beau Woodward																																						Hailey Kim																																						Rick Xu","Pro																															Pro																															Pro","3-0																															PRO"
Bellevue LZ,Interlake YR,"Chris McGowan																																						Lalu Kunnath																																						Liberty Shake","Con																															Pro																															Pro","2-1																															PRO"
Interlake DR,Puyallup SL,"Mike Liu																																						Michele Luke																																						Alissa Walter","Con																															Pro																															Con","2-1																															CON"
Overlake CZ,Mount Si GK,"Padma Gaggara																																						Madison Lancaster																																						Daniel Garepis-Holland","Con																															Pro																															Pro","2-1																															PRO"
Interlake SC,Mount Si SV,"Omar Khan																																						Greg Stevens																																						Ava Min","Pro																															Con																															Con","2-1																															CON"
Overlake ZZ,Overlake LiCh,,Overlake ZZ advances,Overlake ZZ advances
Bellevue KoSc,Bellevue SB,,Bellevue KoSc advances,Bellevue KoSc advances
Interlake BR,,,,
