Pro,Con,Judges,Votes,Win
Durham WS,Strake Jesuit  DY,"Jude Sims-Barber																																		Timothy Huth																																		Aman Bedi																																		Miranda Wilson																																		Angel Sosa","Con																												Pro																												Con																												Pro																												Con","3-2																															CON"
L C Anderson BC,Southlake Carroll DS,"Eva Motolinia																																		Arya Mirza																																		Eshal Sandhu																																		Robert Quinn																																		Aadi Waghray","Pro																												Pro																												Pro																												Con																												Pro","4-1																															PRO"
