Pro,Con,Judges,Votes,Win
Theodore Roosevelt CM,Vel Phillips Memorial RL,"Anja Waugh																																						Russell Braman																																						Daniel Tuchscherer","Con																															Pro																															Pro","2-1																															PRO"
Theodore Roosevelt BH,Theodore Roosevelt MM,,Theodore Roosevelt MM advances,Theodore Roosevelt MM advances
